Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bambanglipuro,-7.95,110.2833,78.49,82,99,3.89,ID,2021-03-20 23:39:08
guozhen,34.3659,107.359,42.58,27,100,1.43,CN,2021-03-20 23:39:09
mezen,65.8522,44.24,13.12,96,94,9.35,RU,2021-03-20 23:39:09
lebu,-37.6167,-73.65,56.64,81,4,6.46,CL,2021-03-20 23:39:10
vaini,-21.2,-175.2,86,74,40,6.91,TO,2021-03-20 23:39:10
hilo,19.7297,-155.09,71.6,78,90,9.22,US,2021-03-20 23:39:11
geraldton,-28.7667,114.6,75.2,31,0,14.97,AU,2021-03-20 23:39:11
primorsk,46.7348,36.3443,34.77,88,1,9.37,UA,2021-03-20 23:39:12
atuona,-9.8,-139.0333,80.2,80,16,13.47,PF,2021-03-20 23:39:13
bluff,-46.6,168.3333,57,93,90,5.99,NZ,2021-03-20 23:39:13
longyearbyen,78.2186,15.6401,14,73,40,9.22,SJ,2021-03-20 23:39:13
lompoc,34.6391,-120.4579,57.2,51,1,19.57,US,2021-03-20 23:39:14
barrow,71.2906,-156.7887,-7.6,71,1,6.91,US,2021-03-20 23:39:14
kapaa,22.0752,-159.319,75.2,69,20,19.57,US,2021-03-20 23:36:58
yafran,32.0633,12.5286,63.57,26,73,7.09,LY,2021-03-20 23:39:15
kawalu,-7.3817,108.2082,74.82,81,78,1.03,ID,2021-03-20 23:39:16
poum,-20.2333,164.0167,79.68,73,78,12.19,NC,2021-03-20 23:39:16
new norfolk,-42.7826,147.0587,68,50,8,3,AU,2021-03-20 23:39:17
taltal,-25.4,-70.4833,66.43,75,9,4.76,CL,2021-03-20 23:39:17
zavetnoye,47.1194,43.8903,35.38,92,92,10.02,RU,2021-03-20 23:39:17
kununurra,-15.7667,128.7333,75.2,100,90,4.61,AU,2021-03-20 23:39:18
busselton,-33.65,115.3333,74.16,39,0,3.24,AU,2021-03-20 23:39:18
sovetskiy,61.3614,63.5842,2.28,93,100,8.61,RU,2021-03-20 23:39:19
ushuaia,-54.8,-68.3,46.4,76,40,33.38,AR,2021-03-20 23:34:35
margate,51.3813,1.3862,48,75,98,1.01,GB,2021-03-20 23:39:20
narsaq,60.9167,-46.05,32,93,90,9.22,GL,2021-03-20 23:34:23
porto novo,6.4965,2.6036,82.4,78,20,6.91,BJ,2021-03-20 23:39:20
rikitea,-23.1203,-134.9692,80.08,71,4,4.72,PF,2021-03-20 23:35:19
linjiang,41.8069,126.9078,34.48,79,98,9.62,CN,2021-03-20 23:39:21
puerto ayora,-0.7393,-90.3518,84.2,70,20,10.36,EC,2021-03-20 23:39:21
tasiilaq,65.6145,-37.6368,24.8,93,90,46.04,GL,2021-03-20 23:39:22
jumla,29.2747,82.1838,40.28,66,10,3.71,NP,2021-03-20 23:39:04
hithadhoo,-0.6,73.0833,83.14,70,100,10.36,MV,2021-03-20 23:39:22
asau,46.4333,26.4,30.99,63,100,1.45,RO,2021-03-20 23:39:23
kalmunai,7.4167,81.8167,77.58,84,78,1.63,LK,2021-03-20 23:39:23
port elizabeth,-33.918,25.5701,64.4,88,20,12.66,ZA,2021-03-20 23:39:24
coromandel,-18.4733,-47.2003,65.07,94,3,4.92,BR,2021-03-20 23:39:25
bredasdorp,-34.5322,20.0403,55.4,94,66,2.3,ZA,2021-03-20 23:39:25
bethel,41.3712,-73.414,57.2,21,1,2.55,US,2021-03-20 23:39:25
ilulissat,69.2167,-51.1,12.2,67,25,5.26,GL,2021-03-20 23:39:26
thompson,55.7435,-97.8558,50,34,75,3.44,CA,2021-03-20 23:39:26
buzmeyin,38.0507,58.2056,46.4,81,17,2.3,TM,2021-03-20 23:39:27
baruun-urt,46.6806,113.2792,18.5,51,26,12.88,MN,2021-03-20 23:39:27
carnarvon,-24.8667,113.6333,71.6,83,0,5.75,AU,2021-03-20 23:37:10
arlit,18.7369,7.3853,81.23,7,21,8.16,NE,2021-03-20 23:39:28
emerald,-23.5333,148.1667,80.6,69,90,12.66,AU,2021-03-20 23:39:28
chokurdakh,70.6333,147.9167,-12.98,93,0,4.34,RU,2021-03-20 23:39:29
punta arenas,-53.15,-70.9167,50,62,75,18.41,CL,2021-03-20 23:39:29
porbandar,21.6422,69.6093,72.66,82,0,7.92,IN,2021-03-20 23:39:30
zirl,47.3028,11.2745,24.8,74,41,2.3,AT,2021-03-20 23:39:30
byron bay,-28.65,153.6167,73.4,94,75,19.57,AU,2021-03-20 23:39:30
vyshneve,50.3891,30.3705,30.99,80,0,6.71,UA,2021-03-20 23:39:31
saint-joseph,-21.3667,55.6167,78.8,78,0,19.57,RE,2021-03-20 23:39:31
korla,41.7597,86.1469,37,56,0,7.36,CN,2021-03-20 23:39:32
kushiro,42.975,144.3747,28.4,100,75,5.75,JP,2021-03-20 23:39:32
abu samrah,35.3029,37.1841,52.45,58,0,2.57,SY,2021-03-20 23:39:33
faanui,-16.4833,-151.75,83.12,68,1,7.18,PF,2021-03-20 23:39:33
saint george,37.1041,-113.5841,70,12,1,24.16,US,2021-03-20 23:39:34
sirok,47.9333,20.2,30.58,88,25,2.91,HU,2021-03-20 23:39:34
mus,39,41.75,30.9,91,88,1.07,TR,2021-03-20 23:39:35
qaanaaq,77.484,-69.3632,-8.34,97,100,2.08,GL,2021-03-20 23:39:35
hermanus,-34.4187,19.2345,55.99,92,38,1.01,ZA,2021-03-20 23:39:35
constitucion,-35.3333,-72.4167,56.82,85,100,7.58,CL,2021-03-20 23:39:36
bissau,11.8636,-15.5977,73.4,78,0,5.75,GW,2021-03-20 23:39:36
batagay,67.6333,134.6333,1.38,87,42,5.37,RU,2021-03-20 23:39:37
bathsheba,13.2167,-59.5167,77,57,20,13.8,BB,2021-03-20 23:39:37
